Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000157578,LCA5L,0.0,-0.9153037595684115,1.0,0.0037928328537797542,3.1745750599456946,0.5561058621675087,0.0,1.6167480080950494,1.0,0.0,2.0347215753141166,1.0,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000185437,SH3BGR,0.0,-3.5002662602895667,0.022329754055410385,0.015171331415119017,1.496503154833058,0.5561058621675087,0.009823848238482384,0.8797824139288428,0.9976975557196748,0.006340183646698732,0.5752899566768184,1.0,0.03135135135135135,2.6909587949356757,0.8340279109652943,0.05852674066599395,3.6026748517362956,0.7748175798349142,0.0,2.1671154678554885,1.0,0.0,5.533705411906697,1.0
ENSG00000182240,BACE2,0.0014138065522620903,-4.237231854455773,1.3148782309028415e-05,0.0037928328537797542,-2.147353034941667,0.29810231056689596,0.009823848238482384,-1.0836917100460433,0.9686508413028522,0.025360734586794928,0.1471963045725282,1.0,0.4859459459459459,6.10599629421452,8.111814180244095e-11,0.029263370332996974,1.0177123510151391,1.0,0.0,0.39452596395856077,1.0,0.0,3.76111590800977,1.0
ENSG00000183844,FAM3B,0.0014138065522620903,1.0846962404315885,0.7368385821273634,0.0,1.1745750599456954,1.0,0.0,1.6167480080950494,1.0,0.0,2.0347215753141166,1.0,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000183486,MX2,0.3110374414976599,0.5150467952049378,0.45394061168130334,0.18584880983520796,-0.5695860356247147,0.8808669487928481,0.1866531165311653,-0.5324780006794276,1.0,0.26628771316134675,0.04313381513031578,1.0,0.34486486486486484,0.451640458075689,1.0,0.26337033299697277,0.11082175540662087,1.0,0.11725067385444744,-0.8215692189166772,1.0,0.0,0.5337054119066971,1.0
ENSG00000157601,MX1,0.19227769110764428,-0.42460199035749424,0.5766082759040426,0.27687679832592205,0.3728011701513909,0.8509586675990689,0.19647696476964768,-0.21057533019515118,1.0,0.1965456930476607,-0.1940971151817652,1.0,0.5016216216216216,1.2483168342622302,0.5856821007905684,0.26337033299697277,0.33065166267524715,1.0,0.35175202156334234,0.74308918534939,1.0,0.0,0.7479805058206352,1.0
ENSG00000141956,PRDM15,0.024034711388455535,-0.2689407141831106,0.925908097256109,0.011378498561339264,-1.0348783056832547,0.6589352177611948,0.014735772357723576,-0.5927053575339007,1.0,0.06340183646698733,1.5872625983428943,0.289375492544005,0.0627027027027027,1.5799274825469318,1.0,0.05852674066599395,1.6766754331800722,1.0,0.0,0.4301498736892819,1.0,0.0,3.796739817740491,1.0
ENSG00000227698,AP001619.1,0.0,-0.9153037595684115,1.0,0.0,1.1745750599456954,1.0,0.004911924119241192,3.6167480080950494,0.5362352170549842,0.0,2.0347215753141166,1.0,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000157617,C2CD2,0.024034711388455535,0.34773064626538375,0.9072747243702894,0.02654982997645828,0.5307188701709702,1.0,0.004911924119241192,-1.3374483022918264,0.7933818146542891,0.0,-1.9652784246858843,0.7071105255009845,0.03135135135135135,1.1059962942145187,1.0,0.05852674066599395,2.0177123510151396,1.0,0.07816711590296496,2.430149873689282,1.0,0.0,4.118667912627854,1.0
ENSG00000173276,ZBTB21,0.04524180967238689,-0.00019265715492267077,1.0,0.018964164268898773,-1.1946587497200243,0.5524279601989008,0.009823848238482384,-1.820657304212249,0.4344497912692582,0.15850459116746832,2.342843870676447,0.009490519599334484,0.015675675675675675,-0.616469730256572,1.0,0.029263370332996974,0.29524632654404837,1.0,0.0,-0.3140112218811284,1.0,0.0,3.0525787221700806,1.0
