Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000256073,URB1-AS1,0.027294117647058823,0.675924860890122,0.5748592768548186,0.019112478031634447,-0.08590122198198191,1.0,0.012978294920563883,-0.640760658904032,0.8674606275165254,0.011698265429608713,-0.01126096112501962,1.0,0.05858585858585858,2.3177923203181567,1.0
ENSG00000166979,EVA1C,0.006823529411764706,-2.640443708655341,0.001239046279572778,0.07644991212653779,2.3355625464562944,0.004270112325324194,0.035690311031550674,0.5260584316704593,0.8764973184609719,0.0,-1.4035783839037794,1.0,0.05858585858585858,1.960240315700073,1.0
ENSG00000242220,TCP10L,0.001364705882352941,-1.015952843747547,0.6718281255750738,0.0063708260105448155,1.8616313581238817,0.6164831273853919,0.003244573730140971,0.8952922413361781,1.0,0.0,1.6668109439876186,1.0,0.0,3.995864225430794,1.0
ENSG00000159079,CFAP298,0.19105882352941175,-0.7892908275787149,0.13813329911424868,0.25801845342706503,-0.009635327753914735,1.0,0.40557171626762134,0.8725721648360942,0.18395572879547284,0.33924969745865263,0.43619801584620155,1.0,0.29292929292929293,0.34816596936167565,1.0
ENSG00000159082,SYNJ1,0.0464,0.3584426710339512,0.6916087831614746,0.04778119507908612,0.33806940206686953,0.9852565331032264,0.029201163571268736,-0.48321938191755276,0.9549053497467571,0.023396530859217425,-0.3089415097657051,1.0,0.0,0.38705498275527095,1.0
ENSG00000238197,PAXBP1-AS1,0.03821176470588235,0.6721031499377128,0.5373591400195888,0.015927065026362038,-0.9109581457730451,0.7313643719445612,0.03893488476169165,0.5082691182269308,0.8141024624183332,0.0,-1.5348229171820327,1.0,0.0,0.7942303642611437,1.0
ENSG00000159086,PAXBP1,0.1528470588235294,0.2806641626106279,0.6924061091362511,0.13060193321616873,-0.09477937332843478,1.0,0.12653837547549784,-0.1491018780222757,1.0,0.12868091972569584,-0.018755497671944177,1.0,0.0,-1.3546330216533389,1.0
ENSG00000205930,C21orf62-AS1,0.006823529411764706,-2.560273359971357,0.0013917338978612262,0.04778119507908612,1.2177751683491573,0.32406749696879816,0.0551577534123965,1.5416552867214772,0.09437650524922807,0.023396530859217425,0.32577402615255124,1.0,0.0,0.9958642254307941,1.0
ENSG00000205929,C21orf62,0.009552941176470587,-1.8739338388751188,0.019219148573724514,0.019112478031634447,-0.2379043154270315,1.0,0.06489147460281941,2.287609664114938,0.005112114193910623,0.023396530859217425,0.48623869834579736,1.0,0.0,1.1478673188758446,1.0
ENSG00000184221,OLIG1,0.11599999999999999,4.410311910954551,2.3507487168760244e-10,0.0,-4.614102072842515,0.0003431062999505322,0.0,-4.58044118963022,0.00021572814215623868,0.0,-2.4869943920914173,0.6467409798141899,0.17575757575757575,1.8915275656160588,1.0
