Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000280164,CU638689.5,0.0,-1.0193616643610728,0.6864356254308278,0.003007674756274632,2.755478565746585,0.6138772142059038,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000280018,CU634019.5,0.0,-1.0193616643610728,0.6864356254308278,0.003007674756274632,2.755478565746585,0.6138772142059038,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000273590,SMIM11B,0.0027262044653349003,1.5656008363600824,0.6864356254308278,0.0,0.1705160650254296,1.0,0.0,0.32055760922468934,1.0,0.0,2.4148202095667246,1.0
ENSG00000278961,SMIM34B,0.0027262044653349003,1.5656008363600824,0.6864356254308278,0.0,0.1705160650254296,1.0,0.0,0.32055760922468934,1.0,0.0,2.4148202095667246,1.0
ENSG00000276289,KCNE1B,0.00408930669800235,1.9806383356389263,0.5272614709929371,0.0,-0.24452143425341433,1.0,0.0,-0.09447989005415458,1.0,0.0,1.9997827102878807,1.0
ENSG00000279579,LINC01666,0.0,-1.6043241650822289,0.5357305863553128,0.0,0.1705160650254296,1.0,0.0032628262826282627,1.9055201099458454,0.7733049082337926,0.011783827712312067,3.9997827102878807,0.6742882586834652
ENSG00000278932,CR381653.1,0.0054524089306698005,-1.1568651881110084,0.520412936855264,0.006015349512549264,-0.3599986516733509,1.0,0.013051305130513051,0.7680165861959107,0.83846454396411,0.04713531084924827,2.862279186537946,0.4788056821762236
ENSG00000274391,TPTE,0.0013631022326674501,-0.6043241650822289,0.7889984979960034,0.006015349512549264,2.340441066467741,0.5315994214415339,0.0,-0.09447989005415458,1.0,0.0,1.9997827102878807,1.0
ENSG00000224905,AP001347.1,0.0,-2.3412897592484345,0.22276564560709788,0.0,-0.5664495291407761,0.974193055194451,0.0065256525652565255,1.9055201099458454,0.5570374457211925,0.023567655424624134,3.9997827102878807,0.38854217756630943
ENSG00000185272,RBM11,0.0,-4.604324165082229,6.969896790857003e-05,0.003007674756274632,-1.7680833903104274,0.4116751164150209,0.06525652565256526,4.297837532724605,2.439746891059826e-05,0.023567655424624134,1.1253135923717394,1.0
ENSG00000155304,HSPA13,0.05588719153936546,-0.6714383609407659,0.3622313330260596,0.054138145612943375,-0.4723273517762272,0.8517715023255177,0.13703870387038705,1.309417051619489,0.059819628716302115,0.058919138561560336,-0.0876801309624593,1.0
ENSG00000155307,SAMSN1,0.2794359576968273,0.40975102012949316,0.5704366909604105,0.24362165525824517,-0.0007115956845193949,1.0,0.20555805580558056,-0.2990510343033581,1.0,0.09427062169849654,-1.2815034001021357,1.0
ENSG00000281903,LINC02246,0.0,-1.6043241650822289,0.520412936855264,0.003007674756274632,1.7554785657465848,0.7937717820435477,0.0032628262826282627,1.9055201099458454,0.7733049082337926,0.0,2.4148202095667246,1.0
ENSG00000180530,NRIP1,0.22354876615746183,1.0250324549973802,0.055962611214286265,0.11128396598216138,-0.6900808783091543,0.6138772142059038,0.1141989198919892,-0.6319140206927245,0.6857375405242624,0.08248679398618447,-0.8889605386103785,1.0
ENSG00000229425,AJ009632.2,0.0,-2.604324165082229,0.28383398013979494,0.0,-0.8294839349745695,1.0,0.016314131413141315,4.4904826106670015,0.08263547124767387,0.0,1.4148202095667237,1.0
ENSG00000155313,USP25,0.16902467685076383,0.2882111375492187,0.6864356254308278,0.1413607135449077,-0.1352923644986559,1.0,0.14682718271827183,-0.0627710303268163,1.0,0.09427062169849654,-0.5918435207142863,1.0
ENSG00000215386,MIR99AHG,0.0027262044653349003,-0.01936166436107367,1.0,0.003007674756274632,0.7554785657465848,1.0,0.0032628262826282627,0.9055201099458454,0.9844453913696287,0.0,1.6778546154005172,1.0
ENSG00000154640,BTG3,0.03816686251468861,-1.4651614174106045,0.01435119442066349,0.13835303878863306,1.3793300798613366,0.04545743225472412,0.06525652565256526,-0.14510596312412227,1.0,0.1414059325477448,1.1303668200980246,0.7291069011237726
ENSG00000280594,BTG3-AS1,0.0068155111633372515,-0.4343991636399176,0.7889984979960034,0.01503837378137316,1.3404410664677417,0.6138772142059038,0.0065256525652565255,0.031050992029704183,1.0,0.0,0.29934299214678806,1.0
ENSG00000240770,C21orf91-OT1,0.0,-1.0193616643610728,0.6864356254308278,0.003007674756274632,2.755478565746585,0.6138772142059038,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000154642,C21orf91,0.10223266745005877,-0.4438594928889832,0.5704366909604105,0.1323376892760838,0.19204922657507062,0.9717780512044225,0.15009000900090008,0.4266859600860329,0.7733049082337926,0.12962210483543274,0.2097057796621118,1.0
ENSG00000244676,AL109761.1,0.0,-2.3412897592484345,0.20108613295787842,0.0,-0.5664495291407761,0.9594377926601318,0.013051305130513051,4.227448204833208,0.030505591615739527,0.0,1.6778546154005172,1.0
ENSG00000154645,CHODL,0.0,-1.6043241650822289,0.520412936855264,0.003007674756274632,1.7554785657465848,0.7937717820435477,0.0032628262826282627,1.9055201099458454,0.7733049082337926,0.0,2.4148202095667246,1.0
ENSG00000237484,LINC01684,0.0068155111633372515,-2.7198013825021654,0.00043370961712976326,0.01804604853764779,-0.6850940256393967,0.7988344967570316,0.06851935193519353,1.8413897725261297,0.03231650914879122,0.12962210483543274,2.5403510916505834,0.07202880604758946
ENSG00000234883,MIR155HG,0.0013631022326674501,-3.604324165082229,0.00032483481355284806,0.009023024268823895,-0.7039530528907116,0.7988344967570316,0.052205220522052204,2.8230579497538724,0.0019239434547435729,0.04713531084924827,1.9293933823964826,0.5985189539329011
ENSG00000260583,AP000223.1,0.0013631022326674501,-0.019361664361072783,1.0,0.0,0.1705160650254296,1.0,0.0,0.32055760922468934,1.0,0.011783827712312067,3.9997827102878807,0.6742882586834652
ENSG00000154719,MRPL39,0.04907168037602821,-1.349067109840155,0.015400808220706197,0.10526861646961211,0.37081471551126066,0.7988344967570316,0.14682718271827183,1.0367646432240982,0.15757890113110157,0.1414059325477448,0.8298577088455681,0.9146513000881612
ENSG00000154721,JAM2,0.0,-2.019361664361073,0.33874251099675634,0.006015349512549264,2.340441066467741,0.5315994214415339,0.0,-0.09447989005415458,1.0,0.011783827712312067,3.4148202095667246,0.7557162248439122
