Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSG00000227456,LINC00310,0.0,-1.505997472869244,0.761389881828664,0.005263157894736842,2.7314201477438234,0.8611730949251731,0.0,1.3702539466887131,1.0,0.0,2.2750420249988856,1.0,0.0,1.985036323552844,1.0,0.01427868045297883,4.2887742604263215,1.0,0.0,2.968329769852118,1.0,0.0,3.1083784209036756,1.0,0.0,6.394817791111204,1.0,0.0,8.000990146796862,1.0
ENSG00000214955,AP000317.1,0.0014109175829522234,1.078965027851913,0.7568060024606357,0.0,1.7314201477438234,1.0,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000205670,SMIM11A,0.0,-3.0909599735904,0.0986458040829826,0.0,-0.4385048536984888,1.0,0.012070759625390217,1.7328240260734216,0.8528330666765214,0.0,0.6900795242777296,1.0,0.0,0.400073822831688,1.0,0.07139340226489414,4.873736761147478,0.046921696826934686,0.01705882352941176,2.553292270573274,1.0,0.0,1.5234159201825186,1.0,0.0,4.809855290390048,1.0,0.0,6.416027646075706,1.0
ENSG00000180509,KCNE1,0.07901138464532452,5.911855042016654,7.857689868993797e-11,0.0,-3.101469866420918,0.14747647365837221,0.0,-2.877673566754872,0.28566284833322136,0.0,-1.9728854884446996,1.0,0.0,-2.262891189890742,0.6669894275048621,0.0,-1.5441157537384198,1.0,0.0,-1.2795977435914683,1.0,0.0,-1.1395490925399105,1.0,0.0,2.1468902776676186,1.0,0.0,3.753062633353277,1.0
ENSG00000159200,RCAN1,0.07901138464532452,0.7419300405743416,0.3329975700740258,0.04736842105263158,-0.3216911887157381,1.0,0.03621227887617065,-0.6636933852346236,1.0,0.021497405485544845,-1.0468860698884765,1.0,0.044505831798649476,-0.28798217085357214,1.0,0.0,-2.234787695630691,1.0,0.08529411764705881,0.6953112754457011,1.0,0.15006468305304008,1.4709485002883835,0.9554429750459912,0.0,1.4562183357753473,1.0,0.0,3.062390691461006,1.0
ENSG00000159212,CLIC6,0.0,-1.505997472869244,0.761389881828664,0.0,1.1464576470226673,1.0,0.0,1.3702539466887131,1.0,0.010748702742772422,3.8600045257200417,1.0,0.0,1.985036323552844,1.0,0.0,2.7038117597051654,1.0,0.0,2.968329769852118,1.0,0.01875808538163001,4.693340921624832,0.9554429750459912,0.0,6.394817791111204,1.0,0.0,8.000990146796862,1.0
ENSG00000159216,RUNX1,0.22997956602121244,0.21734851200783467,0.8248980397696679,0.18947368421052632,-0.16765094340539521,1.0,0.2052029136316337,-0.03444160836867072,1.0,0.1397331356560415,-0.5566422264204594,1.0,0.1780233271945979,-0.22750831182725761,1.0,0.22845888724766128,0.1667837360477109,1.0,0.15352941176470586,-0.3679536180123151,1.0,0.3751617076326002,0.8958337855235738,1.0,0.0,-0.3056219270298879,1.0,0.0,1.3005504286557703,1.0
ENSG00000185917,SETD4,0.04938211540332782,-0.7283898942056912,0.334154028788021,0.08421052631578947,0.46133098437608,1.0,0.054318418314255976,-0.19858888866916535,1.0,0.11823573017049666,1.0020235305924694,1.0,0.11571516267648864,0.9679628101939026,0.740880342537678,0.05711472181191532,0.05611350363604606,1.0,0.11941176470588234,1.0454976303745775,1.0,0.03751617076326002,-0.30665907837516926,1.0,0.0,1.365070447717152,1.0,0.0,2.9712428034028107,1.0
ENSG00000159228,CBR1,0.24267782426778245,0.3946521827651295,0.6103034985757506,0.12105263157894737,-0.8535423529773323,0.9030807648979239,0.24745057232049947,0.2707182731377993,1.0,0.10748702742772423,-0.9141835324023635,1.0,0.23143032535297728,0.17006821738536404,1.0,0.25701624815361895,0.3419449194476589,1.0,0.15352941176470586,-0.36318437386444336,1.0,0.20633893919793012,0.04948473185010638,1.0,0.0,-0.300990478298242,1.0,0.0,1.3051818773874162,1.0
ENSG00000236830,CBR3-AS1,0.0239855989101878,-0.45154968884686664,0.7568060024606357,0.0,-2.6948446069582745,0.26579419853328307,0.012070759625390217,-0.8173730564870576,1.0,0.021497405485544845,0.087415021823114,1.0,0.1869244935543278,3.5699988242739997,3.849737024733637e-05,0.0,-1.1374904942757764,1.0,0.0,-0.872972484128824,1.0,0.0,-0.7329238330772672,1.0,0.0,2.553515537130262,1.0,0.0,4.159687892815921,1.0
