Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000157578,LCA5L,0.0,-0.9795475020834505,1.0,0.0,1.3925304767614088,1.0,0.004080484029829745,3.301895996783517,0.5815164671367578,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000185437,SH3BGR,0.0,-3.5645100028046075,0.021156548831464755,0.004301394245031148,-0.06690114187588758,1.0,0.01632193611931898,1.6238240916708797,0.5655082639772941,0.013463324048282264,1.3937708380668479,0.9495915253153049,0.041862143630458315,3.1411583239030785,0.21622532707363393,0.0,4.162819461209699,1.0,0.0,4.015258737770644,1.0
ENSG00000182240,BACE2,0.0013820712004956393,-4.301475596970813,1.1148510413285114e-05,0.004301394245031148,-1.929397618125953,0.5335647410685088,0.004080484029829745,-2.0200320981038455,0.43858056113889377,0.0,-2.2268155723850303,0.6755521120508643,0.3872248285817394,7.067157742459303,9.5797814240915e-15,0.0,2.3902299573127714,1.0,0.0,2.2426692338737158,1.0
ENSG00000183844,FAM3B,0.0013820712004956393,1.0204524979165495,0.7654836174526765,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000183486,MX2,0.30129152170804935,0.4202001261707966,0.5894048964652822,0.21937110649658856,-0.28640817216876013,1.0,0.18362178134233853,-0.5796835102958138,0.9378260613841035,0.1884865366759517,-0.48701600360577224,1.0,0.41862143630458315,0.7505174789317022,0.7073331209773724,0.17365269461077842,0.16658138000589773,1.0,0.0,-0.9847412622293568,1.0
ENSG00000157601,MX1,0.18934375446790258,-0.47093588749241055,0.5510505258643259,0.22797389498665085,0.028476906201370777,1.0,0.30195581820740114,0.52509013808552,0.6708434865903403,0.16155988857938716,-0.4875022233624011,1.0,0.41862143630458315,0.9919068907255164,0.5424966846041374,0.17365269461077842,0.3814597476850392,1.0,0.15425531914893617,0.23389902424598397,1.0
ENSG00000141956,PRDM15,0.02349521040842587,-0.33318445669815233,0.8518543900223494,0.012904182735093445,-0.8169228888675404,0.8397658740852851,0.028563388208808216,0.2575018774250637,1.0,0.026926648096564528,0.2827395256781031,1.0,0.08372428726091663,1.9891552304580284,0.263410799926373,0.0,2.4258538670434926,1.0,0.0,2.278293143604437,1.0
ENSG00000227698,AP001619.1,0.0,-0.9795475020834505,1.0,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.006731662024141132,4.130736432233054,0.5152228380380514,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000157617,C2CD2,0.02349521040842587,0.283486903750342,0.8952357263182825,0.034411153960249186,0.9774929774825658,0.6363236020411615,0.012241452089489235,-0.5560849983440548,1.0,0.0,-1.8692635677669465,0.7976819460094858,0.020931071815229157,0.4973021341283541,1.0,0.17365269461077842,3.7935856515439794,1.0,0.0,2.6002212384917995,1.0
ENSG00000173276,ZBTB21,0.04422627841586046,-0.06443639966996528,1.0,0.05161673094037378,0.3116104813778424,1.0,0.05712677641761643,0.48086613782883614,0.9580219153244233,0.026926648096564528,-0.5246153963795006,1.0,0.041862143630458315,0.1638784004031626,1.0,0.0,1.6816927714730823,1.0,0.0,1.5341320480340275,1.0
