Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000260583,AP000223.1,0.0,-1.0036066329855533,0.796604784749141,0.001334867663981588,-0.08073890592988242,1.0,0.008022130013831258,3.4079929305621537,0.6686924252156831
ENSG00000154719,MRPL39,0.12850053172633819,1.0743958790157193,0.07413651012813112,0.048055235903337164,-1.4104443514089637,0.009737630872287071,0.13637621023513138,0.7705630099468612,0.7456273355633368
ENSG00000154721,JAM2,0.003426680846035685,1.1663183684567588,0.7994164990567306,0.0,-2.0807389059298824,0.3284915547236255,0.008022130013831258,2.823030429840996,0.8259531918674806
ENSG00000287109,AP000224.1,0.0,-0.41864413226439723,1.0,0.0,-1.0807389059298824,0.6832156908177066,0.008022130013831258,4.407992930562154,0.43463072069314695
ENSG00000154723,ATP5PF,1.2079049982275791,0.011457239469332359,1.0,1.2240736478711163,0.05425230540304288,1.0,1.0428769017980635,-0.22303135244836828,1.0
ENSG00000154727,GABPA,0.10622710622710624,-0.09957569151627599,1.0,0.11212888377445339,0.024871282030716202,1.0,0.12835408022130013,0.2957834269761275,1.0
ENSG00000142192,APP,0.1370672338414274,-1.799893318086958,0.0004537569267230328,0.515258918296893,1.6574698550869558,0.0003963748461166436,0.28077455048409405,-0.289360807705197,1.0
ENSG00000233783,AP001442.1,0.0,-1.0036066329855533,0.7670248881386019,0.002669735327963176,1.5042235947912737,0.6832156908177066,0.0,1.8230304298409958,1.0
ENSG00000166265,CYYR1,0.0017133404230178426,-1.2259990543220018,0.6422173194454719,0.008009205983889527,1.7266160161277213,0.3683047656658601,0.0,0.4079929305621528,1.0
ENSG00000154734,ADAMTS1,0.00685336169207137,2.9032839626229654,0.12949422043068085,0.0,-2.402667000817245,0.1945499408333946,0.0,1.0860648356747902,1.0
ENSG00000154736,ADAMTS5,0.0017133404230178426,-2.74057222715176,0.047539272944129414,0.02536248561565017,3.24118918895748,0.006878729597017405,0.0,-0.9843244922166079,1.0
ENSG00000232079,LINC01697,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000232855,AF165147.1,0.00685336169207137,1.9032839626229654,0.30351105153089514,0.001334867663981588,-1.402667000817245,0.4868265869538692,0.0,0.8230304298409967,1.0
ENSG00000156239,N6AMT1,0.029126787191303325,0.5033533557343288,0.6717353348546993,0.01334867663981588,-1.3217470054336777,0.14193813175194536,0.06417704011065006,1.7705630099468612,0.25543213205766924
ENSG00000198862,LTN1,0.16448068060971288,-0.0855178307721709,1.0,0.16819332566168008,-0.046250529544591856,1.0,0.21659751037344396,0.4144479526994518,1.0
ENSG00000156253,RWDD2B,0.035980148883374696,0.6484700635941394,0.6141634416047147,0.02135788262370541,-0.6937157828206351,0.4868265869538692,0.03208852005532503,0.4819935120059293,1.0
ENSG00000273254,AF129075.2,0.011993382961124899,2.5813558677356028,0.07951128880708734,0.001334867663981588,-2.0807389059298824,0.16978046210913036,0.0,0.23806792911984065,1.0
ENSG00000156256,USP16,0.3940682972941038,0.10667542202935665,0.9553629446687028,0.35774453394706557,-0.15393478620514056,0.8142065920508325,0.4171507607192254,0.1730173797880914,1.0
