Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000142197,DOP1B,0.12047559927418584,-0.1438818830641755,0.9711218269695646,0.05217704210147535,-1.3967109259637813,0.2765446654328143,0.10490522355664883,-0.2803875805404945,1.0,0.11071953010279002,-0.1258360152596838,1.0,0.5997242647058824,2.5694456887671935,0.003838385990575869,0.0,-1.2213664907898747,1.0
ENSG00000273199,AP000692.2,0.002769554006303123,-1.7109224757880686,0.35317476630260786,0.01391387789372676,1.343069683809479,0.6378627996713825,0.016784835769063814,1.6720176743203927,0.504244078150176,0.008516886930983847,1.0420056716821398,1.0,0.0,0.600472584387818,1.0,0.0,2.7328298195970007,1.0
ENSG00000159256,MORC3,0.2506446375704326,0.10757300387473556,1.0,0.21914357682619648,-0.15876750109281756,1.0,0.23918390970915931,-0.0013827910683477107,1.0,0.1788546255506608,-0.4141705223901906,1.0,0.37316176470588236,0.6991201723207288,1.0,0.11717171717171716,-0.5525723992652476,1.0
ENSG00000228107,AP000692.1,0.00969343902206093,-1.4333885002591602,0.17804559452184418,0.01043540842029507,-0.6792981292189753,1.0,0.04196208942265953,1.5615936846267422,0.2080674700687978,0.017033773861967694,0.33151228887712403,1.0,0.07996323529411765,2.469228051109565,0.3443385514576542,0.0,1.4598113251905849,1.0
ENSG00000159259,CHAF1B,0.004154331009454684,-1.2958849765092246,0.461836327346345,0.01391387789372676,1.173144682367167,0.7878952333163493,0.020981044711329767,1.935052080154187,0.24350198150821878,0.0,-0.19900242782165556,1.0,0.0,0.48499536696788237,1.0,0.0,2.617352602177065,1.0
ENSG00000233818,AP000695.2,0.0,-0.9739568816218629,1.0,0.00347846947343169,3.0211415889221165,0.6378627996713825,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000159267,HLCS,0.02908031706618279,-0.2694127651480347,0.8929635284246669,0.02782775578745352,-0.13086150452293221,1.0,0.03356967153812763,0.19808648598797962,1.0,0.06813509544787077,1.3494341968743866,0.5572150191643606,0.026654411764705885,0.24683562977311713,1.0,0.0,0.7328298195970007,1.0
ENSG00000224790,AP000704.1,0.0,-2.55891938234302,0.27885021962325446,0.00347846947343169,0.6992134940347547,1.0,0.0,-0.23487292128812598,1.0,0.025550660792951544,3.916474789598281,0.2400058605551673,0.013327205882352942,2.8635069902216124,1.0,0.0,3.7328298195970007,1.0
ENSG00000183145,RIPPLY3,0.0,-0.9739568816218629,1.0,0.00347846947343169,3.0211415889221165,0.6378627996713825,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000185808,PIGP,0.12739948428994366,-0.7202002893760797,0.23707321441276183,0.11826796209667746,-0.5910423805340637,0.8299360286676019,0.3650701779771379,1.4786043199557104,0.021768490023383255,0.1958883994126285,0.27261859982355574,1.0,0.07996323529411765,-0.9260732301080163,1.0,0.29292929292929293,0.9779423174335322,1.0
