Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000102978,POLR2C,0.0013924232966821912,0.0417253052375095,1.0,0.0,0.9494924649913044,1.0,0.0,1.0104062523524346,1.0,0.0,1.7163143087374158,1.0,0.0,2.8135089799738653,1.0,0.0,2.747090819309343,1.0,0.02470187393526405,5.095166801474685,0.6709175369687193,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000267100,ILF3-DT,0.0027848465933643825,1.6266878059586647,0.5527877920322274,0.0,0.9494924649913044,1.0,0.0,1.0104062523524346,1.0,0.0,1.7163143087374158,1.0,0.0,2.8135089799738653,1.0,0.0,2.747090819309343,1.0,0.0,3.510204300753527,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000287271,AC011455.6,0.0,-0.9582746947624905,1.0,0.0,1.5344549657124604,1.0,0.004849498327759197,3.5953687530735907,0.6291024193711968,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000213799,ZNF845,0.005569693186728765,-0.22130910059628572,1.0,0.009353330108047089,1.1194174664336156,0.9776578914977193,0.014548494983277593,1.788013831015987,0.6291024193711968,0.0,-0.02065128542878991,1.0,0.0,1.0765433858076596,1.0,0.0,1.0101252251431365,1.0,0.0,1.7732387065873212,1.0,0.0,4.425853867043493,1.0,0.0,4.2782931436044365,1.0
ENSG00000204577,LILRB3,0.0013924232966821912,1.0417253052375095,0.7749959571855021,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000280071,GATD3B,0.08493782109761366,-0.4303431390777148,0.6456780474203714,0.1262699564586357,0.43491929216154546,0.9735449289293878,0.15033444816053512,0.7373877579460193,0.630674579408533,0.1199276298785216,0.3553166491714612,1.0,0.0768415474297827,-0.16631313808850434,1.0,0.029396857577293465,-1.2628932692632793,1.0,0.0494037478705281,-0.4997797878190946,1.0,0.0,0.5481096170944904,1.0,0.30851063829787234,2.005274649198021,1.0
ENSG00000275464,FP565260.1,0.009746963076775339,-0.9582746947624923,0.5223221574447701,0.028059990324141266,1.2543470465197242,0.6327504326516755,0.0,-1.9281932029834215,0.6291024193711968,0.0074954768674076,-0.1581548091787246,1.0,0.01536830948595654,0.9390398620577249,1.0,0.07349214394323367,2.747090819309343,0.30832592360764355,0.0494037478705281,2.28781187941708,1.0,0.0,3.224220005873842,1.0,0.0,3.0766592824347865,1.0
ENSG00000280433,FP565260.6,0.019493926153550677,-0.2993116125975588,0.8887697365234863,0.02338332527011772,0.3120625443760119,1.0,0.009698996655518394,-0.7738650565921281,1.0,0.0674592918066684,2.038242403624778,0.34256054077023085,0.03073661897191308,1.0292376710293034,1.0,0.0,-0.7123407993279542,1.0,0.0,0.05077268211623043,1.0,0.0,2.703387842572401,1.0,0.0,2.555827119133346,1.0
ENSG00000275993,SIK1B,0.006962116483410956,2.6266878059586647,0.12821532566361357,0.0,-0.050507535008696536,1.0,0.0,0.01040625235243553,1.0,0.0,0.7163143087374158,1.0,0.0,1.8135089799738662,1.0,0.0,1.747090819309343,1.0,0.0,2.5102043007535277,1.0,0.0,5.162819461209699,1.0,0.0,5.015258737770644,1.0
ENSG00000288187,CU633906.5,0.0,-0.9582746947624905,1.0,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0074954768674076,4.301276809458572,0.5426972710250434,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000275895,U2AF1L5,0.05291208527392327,0.28273340474130304,0.8043844279216046,0.04676665054023544,0.06314924678687106,1.0,0.04364548494983278,-0.03689946242592246,1.0,0.0449728612044456,0.08626391848772119,1.0,0.06147323794382616,0.6543103851246119,1.0,0.0,-1.817693799474183,1.0,0.0494037478705281,0.5716048454176708,1.0,0.0,1.598034842426173,1.0,0.15425531914893617,2.470938221546833,1.0
ENSG00000280145,CU638689.4,0.0,-1.9582746947624914,0.607880550671105,0.014029995162070633,4.53445496571246,0.12269103751057917,0.0,0.5953687530735907,1.0,0.0,1.3012768094585718,1.0,0.0,2.398471480695023,1.0,0.0,2.332053320030499,1.0,0.0,3.0951668014746847,1.0,0.0,5.747781961930855,1.0,0.0,5.6002212384918,1.0
ENSG00000280164,CU638689.5,0.0,-0.9582746947624905,1.0,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0074954768674076,4.301276809458572,0.5426972710250434,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000280018,CU634019.5,0.0,-0.9582746947624905,1.0,0.004676665054023544,3.5344549657124604,0.5620262149245617,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000273590,SMIM11B,0.0027848465933643825,1.6266878059586647,0.5527877920322274,0.0,0.9494924649913044,1.0,0.0,1.0104062523524346,1.0,0.0,1.7163143087374158,1.0,0.0,2.8135089799738653,1.0,0.0,2.747090819309343,1.0,0.0,3.510204300753527,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000278961,SMIM34B,0.0027848465933643825,1.6266878059586647,0.5527877920322274,0.0,0.9494924649913044,1.0,0.0,1.0104062523524346,1.0,0.0,1.7163143087374158,1.0,0.0,2.8135089799738653,1.0,0.0,2.747090819309343,1.0,0.0,3.510204300753527,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000276289,KCNE1B,0.0027848465933643825,0.6266878059586647,0.8649942672289,0.0,0.5344549657124604,1.0,0.0,0.5953687530735907,1.0,0.0074954768674076,2.7163143087374158,0.9919852036766883,0.0,2.398471480695023,1.0,0.0,2.332053320030499,1.0,0.0,3.0951668014746847,1.0,0.0,5.747781961930855,1.0,0.0,5.6002212384918,1.0
ENSG00000279579,LINC01666,0.0,-1.5432371954836475,0.7978199588875641,0.0,0.9494924649913044,1.0,0.004849498327759197,2.5953687530735907,0.8338211739870758,0.0,1.7163143087374158,1.0,0.01536830948595654,4.398471480695023,0.7178843146913726,0.0,2.747090819309343,1.0,0.0,3.510204300753527,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000278932,CR381653.1,0.005569693186728765,-1.095778218512427,0.6538980665204893,0.004676665054023544,-0.2728999563451442,1.0,0.014548494983277593,1.0104062523524355,0.917732831670609,0.0,-0.605613786149946,1.0,0.0,0.49158088508650355,1.0,0.0881905727318804,3.9694832406457907,0.1884738516495248,0.0,1.1882762058661651,1.0,0.0,3.8408913663223365,1.0,0.0,3.693330642883281,1.0
ENSG00000274391,TPTE,0.0013924232966821912,-0.5432371954836475,1.0,0.0,0.5344549657124604,1.0,0.0,0.5953687530735907,1.0,0.0,1.3012768094585718,1.0,0.0,2.398471480695023,1.0,0.0,2.332053320030499,1.0,0.0,3.0951668014746847,1.0,0.34730538922155685,8.33274446265201,0.03799208428823272,0.0,5.6002212384918,1.0
ENSG00000224905,AP001347.1,0.0,-2.280202789649854,0.4267391122504436,0.0,0.2125268708250978,1.0,0.004849498327759197,1.5953687530735907,0.9984738245389668,0.0074954768674076,2.301276809458572,1.0,0.03073661897191308,4.398471480695021,0.3932488968396587,0.0,2.0101252251431374,1.0,0.0,2.773238706587321,1.0,0.0,5.425853867043491,1.0,0.0,5.2782931436044365,1.0
ENSG00000185272,RBM11,0.0,-4.5432371954836475,0.00015932848776866205,0.004676665054023544,-0.9891069903445526,1.0,0.029096989966555187,1.2327986736888832,0.7507344827244147,0.0599638149392608,2.4712018109008835,0.26743026183248275,0.03073661897191308,1.524002362778881,1.0,0.0,-0.25290918069065693,1.0,0.14821124361158428,3.732596722089976,0.0607914652954804,0.0,3.162819461209699,1.0,0.0,3.0152587377706435,1.0
ENSG00000155304,HSPA13,0.05430450857060546,-0.7238094411254692,0.33201900105712456,0.06547331075632962,-0.09781324978705319,1.0,0.15033444816053512,1.3474412396300055,0.16212058682859803,0.0824502455414836,0.3012768094585718,1.0,0.0768415474297827,0.31100863944468227,1.0,0.0,-2.409413666370648,1.0,0.12350936967632024,1.0077039602243443,1.0,0.0,1.0063149755297078,1.0,0.15425531914893617,1.8723007839286003,1.0
ENSG00000155307,SAMSN1,0.27569981274307387,0.35642183089379476,0.6774385601191812,0.17303660699887113,-0.5440470079662576,1.0,0.16488294314381272,-0.615198232866067,0.9984738245389668,0.3822693202377876,0.7396216822294845,0.7357874421068257,0.09220985691573924,-1.253605215884671,1.0,0.24987328940699444,0.08835039244863885,1.0,0.27172061328790453,0.24133744961757886,1.0,0.5209580838323353,1.2761067475388104,1.0,0.0,-0.8835945387724569,1.0
ENSG00000281903,LINC02246,0.0,-1.5432371954836475,0.7749959571855021,0.004676665054023544,2.5344549657124604,0.8201631063782417,0.004849498327759197,2.5953687530735907,0.8338211739870758,0.0,1.7163143087374158,1.0,0.0,2.8135089799738653,1.0,0.0,2.747090819309343,1.0,0.0,3.510204300753527,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000180530,NRIP1,0.225572574062515,1.0329014548505016,0.05199832949187694,0.06079664570230608,-1.5099391536459934,0.32527464734008793,0.058193979933110374,-1.562172523912889,0.3117793404154484,0.2773326440940812,0.855717365402832,0.6163835649583679,0.06147323794382616,-1.1864910200261347,1.0,0.05879371515458693,-1.2529091806906578,1.0,0.12350936967632024,-0.2207375057849088,1.0,0.0,-0.18295537563203146,1.0,0.925531914893617,2.5127583972414604,1.0
ENSG00000229425,AJ009632.2,0.0,-2.5432371954836475,0.5228079505326353,0.0,-0.050507535008696536,1.0,0.0,0.01040625235243553,1.0,0.0,0.7163143087374158,1.0,0.0,1.8135089799738662,1.0,0.0,1.747090819309343,1.0,0.0,2.5102043007535277,1.0,0.0,5.162819461209699,1.0,0.7712765957446808,10.185183739212956,0.0071521677817536124
ENSG00000155313,USP25,0.16569837230518075,0.22069544628282722,0.8359052447125792,0.10288663118851797,-0.6073189954157034,1.0,0.17458193979933112,0.24257969448146843,1.0,0.2773326440940812,0.9946154712245197,0.5426972710250434,0.09220985691573924,-0.5689606568485477,1.0,0.029396857577293465,-1.8838840791686495,1.0,0.0494037478705281,-1.1207705977244649,1.0,0.0,-0.06599922928618218,1.0,0.0,-0.21355995272523742,1.0
ENSG00000215386,MIR99AHG,0.0027848465933643825,0.041725305237507726,1.0,0.0,0.2125268708250978,1.0,0.0,0.273440658186229,1.0,0.0,0.9793487145712101,1.0,0.0,2.0765433858076596,1.0,0.0,2.0101252251431374,1.0,0.0494037478705281,5.095166801474683,0.1785058108068946,0.0,5.425853867043491,1.0,0.0,5.2782931436044365,1.0
ENSG00000154640,BTG3,0.038987852307101355,-1.4040744478120222,0.01990331097946223,0.15432994678277695,1.4124644413338499,0.14188227981902632,0.08729096989966556,0.36756283555077873,1.0,0.0299819074696304,-1.0632956228372845,1.0,0.10757816640169579,0.754615290920297,1.0,0.20577800304105426,1.699785104530986,0.47274831104935733,0.0494037478705281,-0.03411621547028254,1.0,0.0,1.0063149755297078,1.0,0.0,0.8587542520906526,1.0
ENSG00000280594,BTG3-AS1,0.006962116483410956,-0.3733121940413362,1.0,0.004676665054023544,-0.050507535008696536,1.0,0.004849498327759197,0.01040625235243553,1.0,0.0224864306022228,1.97934871457121,0.6746835243524929,0.0,0.6980317625539305,1.0,0.029396857577293465,2.457584202114358,1.0,0.0,1.394727083333592,1.0,0.0,4.047342243789762,1.0,0.0,3.899781520350708,1.0
ENSG00000240770,C21orf91-OT1,0.0,-0.9582746947624905,1.0,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0074954768674076,4.301276809458572,0.5426972710250434,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000154642,C21orf91,0.10164690065779997,-0.44926104727463434,0.607880550671105,0.11691662635058861,-0.01303282959003349,1.0,0.1794314381270903,0.71401324957221,0.630674579408533,0.1274231067459292,0.14927371601352135,1.0,0.10757816640169579,-0.010919455442679915,1.0,0.16168271667511405,0.5419763894047307,1.0,0.0988074957410562,-0.0175333312746786,1.0,0.0,0.2801764118478576,1.0,0.30851063829787234,1.733972627380627,1.0
ENSG00000244676,AL109761.1,0.0,-2.280202789649854,0.38943666960405693,0.0,0.2125268708250978,1.0,0.01939799331103679,4.9172968479609525,0.02072080047489869,0.0,0.9793487145712101,1.0,0.0,2.0765433858076596,1.0,0.0,2.0101252251431374,1.0,0.0,2.773238706587321,1.0,0.0,5.425853867043491,1.0,0.0,5.2782931436044365,1.0
ENSG00000154645,CHODL,0.0,-1.5432371954836475,0.7749959571855021,0.004676665054023544,2.5344549657124604,0.8201631063782417,0.004849498327759197,2.5953687530735907,0.8338211739870758,0.0,1.7163143087374158,1.0,0.0,2.8135089799738653,1.0,0.0,2.747090819309343,1.0,0.0,3.510204300753527,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000237484,LINC01684,0.006962116483410956,-2.658714412903585,0.000772302326785177,0.014029995162070633,-0.8230970389056234,1.0,0.014548494983277593,-0.7621832515444922,1.0,0.0449728612044456,0.8607042180725903,1.0,0.16905140434552196,2.9390398620577245,0.040718599475623486,0.05879371515458693,1.3320533200304983,1.0,0.2470187393526405,3.467135578861642,0.025386877487905475,0.0,2.288350343293558,1.0,0.15425531914893617,3.1739564837897016,1.0
ENSG00000234883,MIR155HG,0.0013924232966821912,-3.5432371954836475,0.0007120803907298735,0.004676665054023544,-1.0505075350086965,0.8893650311711856,0.06789297658862876,3.042827730044813,0.003757353387909237,0.0149909537348152,0.36267735412271573,1.0,0.03073661897191308,1.4598720253591653,1.0,0.014698428788646732,0.7470908193093431,1.0,0.02470187393526405,1.5102043007535277,1.0,0.0,3.10392577215613,1.0,0.30851063829787234,4.661621783155942,0.8987329585499261
ENSG00000260583,AP000223.1,0.0013924232966821912,0.0417253052375095,1.0,0.0,0.9494924649913044,1.0,0.0,1.0104062523524346,1.0,0.0,1.7163143087374158,1.0,0.01536830948595654,4.398471480695023,0.7178843146913726,0.0,2.747090819309343,1.0,0.0,3.510204300753527,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000154719,MRPL39,0.048734815383876695,-1.3429385449978164,0.01628000243613668,0.11691662635058861,0.53445496571246,0.8411225992612441,0.1697324414715719,1.2107049028382662,0.2368557676902331,0.0599638149392608,-0.44766142637371065,1.0,0.13831478537360886,0.8135089799738653,1.0,0.10288900152052713,0.40131598246761246,1.0,0.17291311754684835,1.1644294639117976,1.0,0.34730538922155685,2.344059775879845,1.0,0.0,0.5889939830685456,1.0
ENSG00000154721,JAM2,0.0,-1.9582746947624914,0.5700571187004907,0.004676665054023544,1.9494924649913044,0.9704023570502437,0.004849498327759197,2.0104062523524346,0.9691612893199285,0.0074954768674076,2.7163143087374158,0.9919852036766883,0.0,2.398471480695023,1.0,0.0,2.332053320030499,1.0,0.0,3.0951668014746847,1.0,0.0,5.747781961930855,1.0,0.0,5.6002212384918,1.0
ENSG00000287109,AP000224.1,0.0,-0.9582746947624905,1.0,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0074954768674076,4.301276809458572,0.5426972710250434,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000154723,ATP5PF,1.2295097709703748,0.06475627389284888,1.0,1.1036929527495565,-0.14380715563631458,1.0,1.4451505016722408,0.3125669894760501,0.9954220995822199,1.026880330834841,-0.24841021651505374,1.0,1.1526232114467405,-0.06612800630121604,1.0,0.823112012164217,-0.5638275153474228,1.0,1.2350936967632025,0.03372942376763699,1.0,1.215568862275449,-0.022055881698585383,1.0,1.5425531914893615,0.2922960030034117,1.0
ENSG00000154727,GABPA,0.1113938637345753,0.006535876775207949,1.0,0.09353330108047088,-0.23309894828716926,1.0,0.08244147157190636,-0.42453080436411383,1.0,0.0449728612044456,-1.185989017375451,1.0,0.09220985691573924,-0.08879434613900106,1.0,0.33806386213887485,1.7877328038066886,0.288385498308232,0.22231686541737644,1.1503083556671445,1.0,0.17365269461077842,1.40793195904623,1.0,0.0,0.25149308426072237,1.0
ENSG00000142192,APP,0.47342392087194507,1.1155032313770556,0.023324962368173795,0.10288663118851797,-1.8488736738390454,0.14188227981902632,0.3588628762541806,0.0827204571683251,1.0,0.0899457224088912,-1.9349214114029065,0.5086848243125942,0.3073661897191308,-0.12210043275617943,1.0,0.16168271667511405,-1.0225633935630376,1.0,0.2470187393526405,-0.38791608522725873,1.0,0.0,-1.2237615920199172,1.0,1.851063829787234,2.364023017630321,1.0
ENSG00000233783,AP001442.1,0.0027848465933643825,1.6266878059586647,0.5527877920322274,0.0,0.9494924649913044,1.0,0.0,1.0104062523524346,1.0,0.0,1.7163143087374158,1.0,0.0,2.8135089799738653,1.0,0.0,2.747090819309343,1.0,0.0,3.510204300753527,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000166265,CYYR1,0.0013924232966821912,-1.7656296168200951,0.398990852440789,0.0,-0.46554503428754046,1.0,0.004849498327759197,0.788013831015987,1.0,0.0,0.3012768094585718,1.0,0.0,1.3984714806950223,1.0,0.0,1.3320533200304991,1.0,0.0,2.095166801474684,1.0,0.0,4.747781961930855,1.0,0.7712765957446808,8.600221238491798,3.508976911673342e-05
ENSG00000154734,ADAMTS1,0.0,-2.280202789649854,0.38943666960405693,0.014029995162070633,3.5344549657124604,0.18052554372761298,0.004849498327759197,1.5953687530735907,0.9984738245389668,0.0,0.9793487145712101,1.0,0.0,2.0765433858076596,1.0,0.0,2.0101252251431374,1.0,0.0,2.773238706587321,1.0,0.0,5.425853867043491,1.0,0.0,5.2782931436044365,1.0
ENSG00000154736,ADAMTS5,0.026456042636961635,3.3636534001248712,0.0034510667253339366,0.0,-1.8578624570663003,0.6766304467716774,0.0,-1.796948669705169,0.8581521523369696,0.0,-1.091040613320188,1.0,0.0,0.006154057916261557,1.0,0.0,-0.06026410274826066,1.0,0.02470187393526405,1.7732387065873212,1.0,0.0,3.3554645391520945,1.0,0.0,3.2079038157130397,1.0
ENSG00000232079,LINC01697,0.0,-0.9582746947624905,1.0,0.004676665054023544,3.5344549657124604,0.5620262149245617,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000232855,AF165147.1,0.0,-2.5432371954836475,0.23931130055946429,0.018706660216094177,3.856383060599823,0.07666335982040184,0.0,0.01040625235243553,1.0,0.0,0.7163143087374158,1.0,0.0,1.8135089799738662,1.0,0.0,1.747090819309343,1.0,0.0,2.5102043007535277,1.0,0.17365269461077842,6.425853867043491,0.763766188299528,0.0,5.015258737770644,1.0
ENSG00000156239,N6AMT1,0.012531809670139721,-1.3912341020385979,0.10824616552672628,0.004676665054023544,-1.5948280512325068,0.6084712844065897,0.08729096989966556,2.6733712650748647,0.003757353387909237,0.0,-1.8686481919837403,0.8996715687432854,0.04610492845786962,1.3540773613365689,1.0,0.029396857577293465,0.8295529795013161,1.0,0.0494037478705281,1.5926664609455008,1.0,0.0,2.577856960488542,1.0,0.0,2.4302962370494874,1.0
ENSG00000198862,LTN1,0.17126806549190954,0.0072369288522171615,1.0,0.07014997581035316,-1.3420619808525398,0.4148277014101141,0.2473244147157191,0.6591838506710348,0.6358533509370637,0.2323597828896356,0.5264897498573982,1.0,0.2612612612612612,0.704210337483054,1.0,0.0881905727318804,-0.7913290954747834,1.0,0.07410562180579214,-0.853200430109994,1.0,0.5209580838323353,1.7994147303461774,1.0,0.0,-0.36556304617028745,1.0
ENSG00000156253,RWDD2B,0.02088634945023287,-0.7131621969259605,0.5353806859942475,0.06079664570230608,1.4838288926424918,0.2557467493312291,0.01939799331103679,-0.33063066548263276,1.0,0.0074954768674076,-1.056275195159511,1.0,0.04610492845786962,1.1130692618327735,1.0,0.014698428788646732,-0.02549868458758464,1.0,0.02470187393526405,0.7376147968566,1.0,0.34730538922155685,4.010816367764649,0.9300449857986657,0.15425531914893617,3.2426692338737158,1.0
ENSG00000273254,AF129075.2,0.0013924232966821912,-1.9582746947624914,0.2872507684407809,0.004676665054023544,0.5344549657124595,1.0,0.009698996655518394,1.372976331737143,0.917732831670609,0.0,0.13135180801625967,1.0,0.0,1.22854647925271,1.0,0.0,1.162128318588187,1.0,0.0988074957410562,5.095166801474683,0.025050158690298533,0.0,4.577856960488543,1.0,0.0,4.430296237049488,1.0
