Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000229425,AJ009632.2,0.007056991288265927,2.6648826861913095,0.2758722219053587,0.0,-2.6648826861913095,0.2758722219053587
ENSG00000155313,USP25,0.13831702925001216,-0.2794078812224021,0.6795320479323392,0.1682397900455822,0.2794078812224021,0.6795320479323392
ENSG00000215386,MIR99AHG,0.0028227965153063707,0.07992018547015345,1.0,0.0026704728578663844,-0.07992018547015345,1.0
ENSG00000154640,BTG3,0.10867766583929528,1.4584318087238843,0.013256961377116176,0.03872185643906257,-1.4584318087238843,0.013256961377116176
ENSG00000280594,BTG3-AS1,0.009879787803572298,0.4949576847489974,0.7880679790066643,0.006676182144665961,-0.4949576847489974,0.7880679790066643
ENSG00000240770,C21orf91-OT1,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000154642,C21orf91,0.1425512240229717,0.5044180139980643,0.5093078714000893,0.10014273216998941,-0.5044180139980643,0.5093078714000893
ENSG00000244676,AL109761.1,0.0056455930306127415,2.401848280357516,0.19230231670959075,0.0,-2.401848280357516,0.19230231670959075
ENSG00000154645,CHODL,0.0028227965153063707,1.6648826861913095,0.5093078714000893,0.0,-1.6648826861913095,0.5093078714000893
ENSG00000237484,LINC01684,0.052221735533167855,2.520492776856135,0.0013235833095732279,0.008011418573599154,-2.520492776856135,0.0013235833095732279
ENSG00000234883,MIR155HG,0.031050761668370078,3.0185196408060104,0.0018419620490410028,0.0026704728578663844,-3.0185196408060104,0.0018419620490410028
ENSG00000260583,AP000223.1,0.0014113982576531854,0.07992018547015434,1.0,0.0013352364289331922,-0.07992018547015434,1.0
ENSG00000154719,MRPL39,0.12843724144643986,1.3555546280835813,0.013256961377116176,0.04940374787052811,-1.3555546280835813,0.013256961377116176
ENSG00000154721,JAM2,0.004234194772959556,2.0799201854701534,0.32170087283539495,0.0,-2.0799201854701534,0.32170087283539495
ENSG00000287109,AP000224.1,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000154723,ATP5PF,1.1827517399133693,-0.04518074726142726,1.0,1.2204060960449377,0.04518074726142726,1.0
ENSG00000154727,GABPA,0.11008906409694846,-0.02569000249044473,1.0,0.11215986003038814,0.02569000249044473,1.0
ENSG00000142192,APP,0.1736019856913418,-1.5319375423140622,0.0013235833095732279,0.5047193701367466,1.5319375423140622,0.0013235833095732279
ENSG00000233783,AP001442.1,0.0,-1.5050423152510017,0.6795320479323392,0.0026704728578663844,1.5050423152510017,0.6795320479323392
ENSG00000166265,CYYR1,0.007056991288265927,1.0799201854701534,0.5713302062066495,0.0026704728578663844,-1.0799201854701534,0.5713302062066495
ENSG00000154734,ADAMTS1,0.0056455930306127415,2.401848280357516,0.19230231670959075,0.0,-2.401848280357516,0.19230231670959075
ENSG00000154736,ADAMTS5,0.0014113982576531854,-3.2420079094172074,0.006871878836787943,0.025369492149730652,3.2420079094172074,0.006871878836787943
ENSG00000232079,LINC01697,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000232855,AF165147.1,0.0056455930306127415,1.401848280357516,0.49545061863407786,0.0013352364289331922,-1.401848280357516,0.49545061863407786
ENSG00000156239,N6AMT1,0.03669635469898282,1.51287959274626,0.0766611143466777,0.012017127860398729,-1.51287959274626,0.0766611143466777
ENSG00000198862,LTN1,0.16936779091838225,-0.023584390283705847,1.0,0.17224549933238179,0.023584390283705847,1.0
ENSG00000156253,RWDD2B,0.03669635469898282,0.8348076876336226,0.35119725926092094,0.020028546433997884,-0.8348076876336226,0.35119725926092094
ENSG00000273254,AF129075.2,0.009879787803572298,2.0799201854701534,0.16529690123952234,0.0013352364289331922,-2.0799201854701534,0.16529690123952234
ENSG00000156256,USP16,0.4008371051735046,0.1740423628347043,0.7965258579730885,0.3551728900962291,-0.1740423628347043,0.7965258579730885
ENSG00000156261,CCT8,0.7325156957220033,0.2288438859832323,0.6894584073599885,0.624890648740734,-0.2288438859832323,0.6894584073599885
ENSG00000231125,AF129075.1,0.0,-1.5050423152510017,0.6795320479323392,0.0026704728578663844,1.5050423152510017,0.6795320479323392
ENSG00000286018,AF129075.3,0.011291186061225483,1.6648826861913104,0.27697730924127567,0.0026704728578663844,-1.6648826861913104,0.27697730924127567
ENSG00000156265,MAP3K7CL,0.10020927629337616,-1.312397237308606,0.10077340680795477,0.2510244486394401,1.312397237308606,0.10077340680795477
ENSG00000215533,LINC00189,0.0,-3.7274347365874494,0.005075771026249964,0.0173580735761315,3.7274347365874494,0.005075771026249964
ENSG00000156273,BACH1,0.08044970068623157,-2.673123616709626,4.480829700187229e-09,0.5207422072839449,2.673123616709626,4.480829700187229e-09
ENSG00000248476,BACH1-IT1,0.0028227965153063707,-0.9200798145298466,0.6795320479323392,0.006676182144665961,0.9200798145298466,0.6795320479323392
ENSG00000273017,AP000240.1,0.011291186061225483,-1.7501548130875326,0.03436035927973367,0.04139232929692896,1.7501548130875326,0.03436035927973367
ENSG00000232118,BACH1-AS1,0.0014113982576531854,0.07992018547015434,1.0,0.0013352364289331922,-0.07992018547015434,1.0
ENSG00000228817,BACH1-IT2,0.0014113982576531854,-2.2420079094172074,0.11938489187220248,0.012017127860398729,2.2420079094172074,0.11938489187220248
ENSG00000273464,AP000238.1,0.0014113982576531854,0.07992018547015434,1.0,0.0013352364289331922,-0.07992018547015434,1.0
ENSG00000156299,TIAM1,0.10303207280868253,-1.234188404957909,0.01443443821249043,0.24434826649477417,1.234188404957909,0.01443443821249043
ENSG00000237594,AP000251.1,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000234509,AP000253.1,0.0056455930306127415,2.401848280357516,0.27697730924127567,0.0,-2.401848280357516,0.27697730924127567
ENSG00000142168,SOD1,1.5581836764491166,1.4182613702483498,0.0011442345483067742,0.5821630830148717,-1.4182613702483498,0.0011442345483067742
ENSG00000273271,AP000254.2,0.007056991288265927,-0.7945489324459869,0.6308267230421762,0.013352364289331922,0.7945489324459869,0.6308267230421762
ENSG00000156304,SCAF4,0.20888694213267142,0.15953735353352227,0.8252053912007972,0.1869331000506469,-0.15953735353352227,0.8252053912007972
ENSG00000273091,AP000255.1,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000159055,MIS18A,0.046576142502555117,0.4124955245570252,0.6795320479323392,0.034716147152263,-0.4124955245570252,0.6795320479323392
ENSG00000227256,MIS18A-AS1,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000142207,URB1,0.03810775295663601,0.302312606806602,0.7705230225799986,0.03071043786546342,-0.302312606806602,0.7705230225799986
ENSG00000256073,URB1-AS1,0.016936779091838224,-0.6119575191675137,0.5829140523514112,0.026704728578663843,0.6119575191675137,0.5829140523514112
ENSG00000166979,EVA1C,0.049398939017861486,2.4424902648548628,0.0030357433699519506,0.008011418573599154,-2.4424902648548628,0.0030357433699519506
ENSG00000242220,TCP10L,0.004234194772959556,1.0799201854701534,0.6495843346288177,0.0013352364289331922,-1.0799201854701534,0.6495843346288177
ENSG00000159079,CFAP298,0.3316785905484986,0.7727386759519783,0.15026939207935772,0.19360928219531287,-0.7727386759519783,0.15026939207935772
ENSG00000159082,SYNJ1,0.03528495644132963,-0.3895650978310661,0.6795320479323392,0.046733275012661724,0.3895650978310661,0.6795320479323392
ENSG00000238197,PAXBP1-AS1,0.02399377038010415,-0.6081358082151054,0.6043212704984755,0.03738662001012938,0.6081358082151054,0.6043212704984755
ENSG00000159086,PAXBP1,0.12420304667348031,-0.3023273786910199,0.6795320479323392,0.1535521893273171,0.3023273786910199,0.6795320479323392
ENSG00000205930,C21orf62-AS1,0.046576142502555117,2.3600281046628897,0.003544738452979446,0.008011418573599154,-2.3600281046628897,0.003544738452979446
ENSG00000205929,C21orf62,0.03951915121428919,1.937901180597727,0.017466575529339407,0.009346655002532345,-1.937901180597727,0.017466575529339407
ENSG00000184221,OLIG1,0.004234194772959556,-4.346344569231944,4.366608008970337e-10,0.11349509645932133,4.346344569231944,4.366608008970337e-10
ENSG00000159110,IFNAR2,0.30486202365308807,0.0405715179943289,1.0,0.29642248722316866,-0.0405715179943289,1.0
ENSG00000223799,IL10RB-DT,0.014113982576531854,-2.34329124525439,0.0002691082086823866,0.07744371287812514,2.34329124525439,0.0002691082086823866
ENSG00000243646,IL10RB,0.22441232296685648,-1.399051619562788,0.0023449119813608215,0.5941802108752705,1.399051619562788,0.0023449119813608215
ENSG00000142166,IFNAR1,0.34296977660972405,0.07992018547015434,0.9616700563269374,0.3244624522307657,-0.07992018547015434,0.9616700563269374
ENSG00000159128,IFNGR2,0.20606414561736505,-2.1019504208780666,1.6438507670750442e-06,0.889267461669506,2.1019504208780666,1.6438507670750442e-06
ENSG00000142188,TMEM50B,0.2709884654694116,0.7181809123513594,0.20230704669331806,0.16423408075878262,-0.7181809123513594,0.20230704669331806
ENSG00000177692,DNAJC28,0.0014113982576531854,-0.9200798145298448,0.7880679790066643,0.004005709286799577,0.9200798145298448,0.7880679790066643
ENSG00000159131,GART,0.1566652065995036,0.5122356761808335,0.4888090432933964,0.10948938717252175,-0.5122356761808335,0.4888090432933964
ENSG00000159140,SON,1.789652990704239,0.4735171604754869,0.4450829098280879,1.2885031539205305,-0.4735171604754869,0.4450829098280734
ENSG00000159147,DONSON,0.03387355818367645,0.5538513738025665,0.6225318814189207,0.022699019291864266,-0.5538513738025665,0.6225318814189207
ENSG00000205758,CRYZL1,0.19759575607144594,0.46458403570547935,0.5106251015314042,0.14287029789585157,-0.46458403570547935,0.5106251015314042
ENSG00000205726,ITSN1,0.0,-5.563936004304569,4.378985724788931e-09,0.06542658501772641,5.563936004304569,4.378985724788931e-09
ENSG00000241837,ATP5PO,1.5765318537986082,0.23795786511813577,0.6795320479323392,1.3365716653621253,-0.23795786511813577,0.6795320479323392
ENSG00000237945,LINC00649,0.16936779091838225,4.998783422744749,4.619639337865684e-13,0.004005709286799577,-4.998783422744749,4.619639337865684e-13
ENSG00000273102,AP000569.1,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000243927,MRPS6,0.4135396894923833,0.4722376082489146,0.4888090432933964,0.29775772365210185,-0.4722376082489146,0.4888090432933964
ENSG00000198743,SLC5A3,0.12138025015817394,0.3134103156899326,0.6795320479323392,0.09747225931212303,-0.3134103156899326,0.6795320479323392
ENSG00000227456,LINC00310,0.0028227965153063707,1.6648826861913095,0.5093078714000893,0.0,-1.6648826861913095,0.5093078714000893
ENSG00000214955,AP000317.1,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000205670,SMIM11A,0.011291186061225483,3.2498451869124665,0.04666283575561418,0.0,-3.2498451869124665,0.04666283575561418
ENSG00000180509,KCNE1,0.0,-5.752969828694587,5.026091114659063e-10,0.07477324002025876,5.752969828694587,5.026091114659063e-10
ENSG00000159200,RCAN1,0.04516474424490193,-0.782576290779911,0.27697730924127567,0.07877894930705834,0.782576290779911,0.27697730924127567
ENSG00000159212,CLIC6,0.0028227965153063707,1.6648826861913095,0.5093078714000893,0.0,-1.6648826861913095,0.5093078714000893
ENSG00000159216,RUNX1,0.19477295955613957,-0.24408223765506643,0.6987596648324592,0.23099590220544225,0.24408223765506643,0.6987596648324592
ENSG00000185917,SETD4,0.08044970068623157,0.5803491759796429,0.4888090432933964,0.053409457157327686,-0.5803491759796429,0.4888090432933964
ENSG00000159228,CBR1,0.18489317175256728,-0.36753879150106705,0.6225318814189207,0.2390073207790414,0.36753879150106705,0.6225318814189207
ENSG00000236830,CBR3-AS1,0.03528495644132963,0.6104349021689339,0.5606100361554891,0.022699019291864266,-0.6104349021689339,0.5606100361554891
ENSG00000159231,CBR3,0.06069012507908697,3.9543893033862947,7.90818929519307e-07,0.0026704728578663844,-3.9543893033862947,7.90818929519307e-07
ENSG00000142197,DOP1B,0.1340828344770526,0.15708804599261406,0.8544444716449413,0.1201712786039873,-0.15708804599261406,0.8544444716449413
ENSG00000273199,AP000692.2,0.011291186061225483,1.2498451869124674,0.4888090432933964,0.004005709286799577,-1.2498451869124674,0.4888090432933964
ENSG00000159256,MORC3,0.23711490728573514,-0.0505818387639736,1.0,0.24568350292370736,0.0505818387639736,1.0
ENSG00000228107,AP000692.1,0.028227965153063708,1.302312606806602,0.21405971196337967,0.010681891431465538,-1.302312606806602,0.21405971196337967
ENSG00000159259,CHAF1B,0.012702584318878668,1.401848280357517,0.3020188322067204,0.004005709286799577,-1.401848280357517,0.3020188322067204
ENSG00000233818,AP000695.2,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000159267,HLCS,0.03669635469898282,0.37537606899632525,0.6802478581895436,0.028039965007597034,-0.37537606899632525,0.6802478581895436
ENSG00000224790,AP000704.1,0.007056991288265927,2.6648826861913095,0.14058762500387129,0.0,-2.6648826861913095,0.14058762500387129
ENSG00000183145,RIPPLY3,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000185808,PIGP,0.213121136905631,0.7279348567266122,0.21035537603961024,0.12818269717758646,-0.7279348567266122,0.21035537603961024
ENSG00000182670,TTC3,0.7692120504209861,0.5433207063103971,0.35036461069469027,0.5274183894286109,-0.5433207063103971,0.35036461069469027
ENSG00000228677,TTC3-AS1,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000230366,DSCR9,0.008468389545919112,2.887275107527758,0.08719561982820175,0.0,-2.887275107527758,0.08719561982820175
ENSG00000157538,VPS26C,0.17783618046430136,0.2612499501847161,0.6883846128273051,0.14821124361158433,-0.2612499501847161,0.6883846128273051
